Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Le Ours;35; 52 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 2
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 2
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 51 ; 1
Le Ours;35; 51 ; 50 ; 1
Le Ours;35; 50 ; 50 ; 1
Le Ours;35; 50 ; 50 ; 2
Le Ours;35; 50 ; 50 ; 1
Le Ours;35; 50 ; 50 ; 1
Le Ours;35; 50 ; 50 ; 1
Le Ours;35; 50 ; 50 ; 1
Le Ours;35; 50 ; 50 ; 1
Le Ours;35; 50 ; 49 ; 2
Le Ours;35; 49 ; 49 ; 1
Le Ours;35; 49 ; 49 ; 1
Le Ours;35; 49 ; 49 ; 1
Le Ours;35; 49 ; 49 ; 1
Le Ours;35; 49 ; 49 ; 2
Le Ours;35; 49 ; 49 ; 1
Le Ours;35; 49 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 2
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 48 ; 1
Le Ours;35; 48 ; 47 ; 1
Le Ours;35; 47 ; 47 ; 1
Le Ours;35; 47 ; 47 ; 2
Le Ours;35; 47 ; 47 ; 1
Le Ours;35; 47 ; 47 ; 1
Le Ours;35; 47 ; 47 ; 1
Le Ours;35; 47 ; 47 ; 2
Le Ours;35; 47 ; 47 ; 1
Le Ours;35; 47 ; 47 ; 1
Le Ours;35; 47 ; 46 ; 2
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
Le Ours;35; 46 ; 46 ; 1
